"DESIGN_VARIABLE","AIRFOIL_AREA","AIRFOIL_THICKNESS","AIRFOIL_CHORD","AIRFOIL_LE_RADIUS","AIRFOIL_TOC","AIRFOIL_ALPHA"
0,0.254376,0.166353,0,-7501.72,0.166353,0
1,0.324769,0.30206,0,-2152.64,0.30206,0
2,0.370803,0.4452,0,-615.566,0.4452,0
3,0.402717,0.591937,0,-166.52,0.591937,0
4,0.424366,0.733895,0,-40.9347,0.733895,0
5,0.437678,0.859109,0,-8.78286,0.859109,0
6,0.443758,0.95263,0,-1.57073,0.95263,0
7,0.443293,0.998013,0,-0.221189,0.998013,0
8,0.436729,0.990179,0,-0.0227672,0.990179,0
9,0.424361,0.925451,0,-0.00154734,0.925451,0
10,0.406381,0.787436,0,-6.00715e-05,0.787436,0
11,0.382912,0.591579,0,-1.07366e-06,0.591579,0
12,0.354022,0.373962,0,-6.2812e-09,0.373962,0
13,0.319744,0.183485,0,0,0.183485,0
14,0.280081,0.0596493,0,0,0.0596493,0
15,0.235016,0.00788399,0,0,0.00788399,0
16,0.184513,0.000368704,0,0,0.000368704,0
17,0.128522,7.88283e-07,0,0,7.88283e-07,0
18,0.0670282,1.38778e-14,0,0,1.38778e-14,0
19,0.254373,0.166376,0,-5762.9,0.166376,0
20,0.324774,0.302096,0,-1476.13,0.302096,0
21,0.370816,0.445247,0,-384.206,0.445247,0
22,0.402737,0.59199,0,-95.0598,0.59199,0
23,0.424391,0.733948,0,-21.3276,0.733948,0
24,0.437703,0.859154,0,-4.14869,0.859154,0
25,0.443779,0.95266,0,-0.665607,0.95266,0
26,0.443305,0.99802,0,-0.0828659,0.99802,0
27,0.436728,0.990168,0,-0.00739516,0.990168,0
28,0.424343,0.925411,0,-0.000424584,0.925411,0
29,0.406346,0.787372,0,-1.34442e-05,0.787372,0
30,0.382865,0.591505,0,-1.86645e-07,0.591505,0
31,0.353973,0.373895,0,-7.95808e-10,0.373895,0
32,0.319705,0.18344,0,0,0.18344,0
33,0.280064,0.0596286,0,0,0.0596286,0
34,0.235031,0.00788035,0,0,0.00788035,0
35,0.184567,0.000368456,0,0,0.000368456,0
36,0.128619,7.87273e-07,0,0,7.87273e-07,0
37,0.0671232,1.38778e-14,0,0,1.38778e-14,0
