"DESIGN_VARIABLE","AIRFOIL_AREA","AIRFOIL_THICKNESS","AIRFOIL_CHORD","AIRFOIL_LE_RADIUS","AIRFOIL_TOC","AIRFOIL_ALPHA"
0,0.254376,0.166353,0,-9129.36,0.166353,0
1,0.324769,0.30206,0,-2627.36,0.30206,0
2,0.370803,0.4452,0,-751.939,0.4452,0
3,0.402717,0.591937,0,-203.461,0.591937,0
4,0.424366,0.733895,0,-50.0189,0.733895,0
5,0.437678,0.859109,0,-10.7321,0.859109,0
6,0.443758,0.95263,0,-1.91935,0.95263,0
7,0.443293,0.998013,0,-0.27028,0.998013,0
8,0.436729,0.980326,0,-0.0278203,0.980325,0
9,0.424361,0.891012,0,-0.00189077,0.891012,0
10,0.406381,0.734085,0,-7.34041e-05,0.734085,0
11,0.382912,0.531326,0,-1.31195e-06,0.531326,0
12,0.354022,0.321878,0,-7.67386e-09,0.321878,0
13,0.319744,0.150937,0,0,0.150937,0
14,0.280081,0.0478453,0,0,0.0478453,0
15,0.235016,0.00788399,0,0,0.00788399,0
16,0.184513,0.000368704,0,0,0.000368704,0
17,0.128522,7.88283e-07,0,0,7.88283e-07,0
18,0.0670282,1.38778e-14,0,0,1.38778e-14,0
19,0.254373,0.166376,0,-6537.07,0.166376,0
20,0.324774,0.302097,0,-1674.85,0.302097,0
21,0.370816,0.445248,0,-435.955,0.445248,0
22,0.402737,0.59199,0,-107.865,0.59199,0
23,0.424391,0.733949,0,-24.2008,0.733949,0
24,0.437703,0.859155,0,-4.70759,0.859155,0
25,0.443779,0.95266,0,-0.755276,0.95266,0
26,0.443305,0.99802,0,-0.0940294,0.99802,0
27,0.436728,0.980304,0,-0.00839142,0.980304,0
28,0.424343,0.890963,0,-0.000481783,0.890963,0
29,0.406346,0.734016,0,-1.52553e-05,0.734016,0
30,0.382865,0.531252,0,-2.11799e-07,0.531252,0
31,0.353973,0.321816,0,-8.81073e-10,0.321816,0
32,0.319705,0.150898,0,0,0.150898,0
33,0.280064,0.0478288,0,0,0.0478288,0
34,0.235031,0.0078803,0,0,0.0078803,0
35,0.184567,0.000368453,0,0,0.000368453,0
36,0.128619,7.87264e-07,0,0,7.87264e-07,0
37,0.0671232,1.38778e-14,0,0,1.38778e-14,0
