"PointID","x","y"
25, 9.853970408439640e-01, 1.271266333685897e-03
51, 9.695732593536380e-01, 2.941888776914145e-03
77, 9.526804089546200e-01, 3.828034850694009e-03
103, 9.349957108497620e-01, 3.345706996721639e-03
129, 9.168222546577450e-01, 1.895219085369197e-03
155, 8.983380794525150e-01, 1.873817679208935e-05
181, 8.797067403793331e-01, -2.110190447015770e-03
207, 8.610174655914310e-01, -4.430790296732682e-03
233, 8.422674536705020e-01, -6.886148471781029e-03
259, 8.235722184181210e-01, -9.471861725920308e-03
285, 8.049457669258120e-01, -1.214537906083741e-02
311, 7.863141298294070e-01, -1.484503474802362e-02
337, 7.678796052932740e-01, -1.760492625041071e-02
363, 7.495508193969730e-01, -2.037277463107892e-02
389, 7.313483357429500e-01, -2.313817740332991e-02
415, 7.132214307785030e-01, -2.587298652136859e-02
441, 6.951977014541630e-01, -2.857473129581344e-02
467, 6.773055195808410e-01, -3.124273317280025e-02
493, 6.594728827476500e-01, -3.385017838550543e-02
519, 6.418011188507080e-01, -3.641882400732949e-02
545, 6.243042349815370e-01, -3.894840806221433e-02
571, 6.065399646759030e-01, -4.130720525627167e-02
597, 5.888153314590450e-01, -4.357741193271069e-02
623, 5.713157057762150e-01, -4.581011642069297e-02
649, 5.538190603256230e-01, -4.793445366881860e-02
675, 5.363336801528930e-01, -4.994706727288353e-02
701, 5.188096761703490e-01, -5.182505905884165e-02
727, 5.012295246124270e-01, -5.355351864039833e-02
753, 4.835794866085050e-01, -5.511639259769031e-02
779, 4.658685922622680e-01, -5.650223719911023e-02
805, 4.480717480182650e-01, -5.768193791971225e-02
831, 4.301885962486270e-01, -5.862484235411212e-02
857, 4.122794568538670e-01, -5.932472861095014e-02
883, 3.944020271301270e-01, -5.976623858835606e-02
909, 3.766198158264160e-01, -5.991349407635960e-02
935, 3.590588271617890e-01, -5.979901384547599e-02
961, 3.418258726596830e-01, -5.942671135514627e-02
987, 3.249974250793460e-01, -5.886825439906465e-02
1013, 3.086399734020230e-01, -5.812731918712175e-02
1039, 2.927811741828920e-01, -5.724799820972316e-02
1065, 2.774220108985900e-01, -5.626874641099948e-02
1091, 2.625653147697450e-01, -5.521176407902673e-02
1117, 2.482267022132870e-01, -5.408115588106559e-02
