"DESIGN_VARIABLE","AIRFOIL_AREA","AIRFOIL_THICKNESS","AIRFOIL_CHORD","AIRFOIL_LE_RADIUS","AIRFOIL_TOC","AIRFOIL_ALPHA"
0,0.254376,0.166353,0,-5575.66,0.166353,0
1,0.324769,0.30206,0,-1594.23,0.30206,0
2,0.370803,0.4452,0,-455.421,0.4452,0
3,0.402717,0.591936,0,-123.162,0.591936,0
4,0.424366,0.733894,0,-30.2737,0.733894,0
5,0.437678,0.859108,0,-6.49533,0.859108,0
6,0.443758,0.952629,0,-1.16162,0.952629,0
7,0.443293,0.998012,0,-0.163578,0.998012,0
8,0.436729,0.980324,0,-0.0168373,0.980324,0
9,0.424361,0.891011,0,-0.00114432,0.891011,0
10,0.406381,0.734084,0,-4.44253e-05,0.734084,0
11,0.382912,0.531325,0,-7.94003e-07,0.531325,0
12,0.354022,0.321878,0,-4.63274e-09,0.321878,0
13,0.319744,0.150937,0,0,0.150937,0
14,0.280081,0.0478453,0,0,0.0478453,0
15,0.235016,0.00788398,0,0,0.00788398,0
16,0.184513,0.000368703,0,0,0.000368703,0
17,0.128522,7.88282e-07,0,0,7.88282e-07,0
18,0.0670282,1.38778e-14,0,0,1.38778e-14,0
19,0.254373,0.166375,0,-4475.12,0.166375,0
20,0.324774,0.302095,0,-1144.15,0.302095,0
21,0.370816,0.445246,0,-297.658,0.445246,0
22,0.402737,0.591988,0,-73.637,0.591988,0
23,0.424391,0.733947,0,-16.5207,0.733947,0
24,0.437703,0.859153,0,-3.21361,0.859153,0
25,0.443779,0.952658,0,-0.515584,0.952658,0
26,0.443305,0.998019,0,-0.0641886,0.998019,0
27,0.436728,0.980303,0,-0.00572835,0.980303,0
28,0.424343,0.890963,0,-0.000328886,0.890963,0
29,0.406346,0.734017,0,-1.04139e-05,0.734017,0
30,0.382865,0.531253,0,-1.4461e-07,0.531253,0
31,0.353973,0.321817,0,-6.39488e-10,0.321817,0
32,0.319705,0.150898,0,0,0.150898,0
33,0.280064,0.0478291,0,0,0.0478291,0
34,0.235031,0.00788038,0,0,0.00788038,0
35,0.184567,0.000368459,0,0,0.000368459,0
36,0.128619,7.87281e-07,0,0,7.87281e-07,0
37,0.0671232,1.38778e-14,0,0,1.38778e-14,0
