"DESIGN_VARIABLE","AIRFOIL_AREA","AIRFOIL_THICKNESS","AIRFOIL_CHORD","AIRFOIL_LE_RADIUS","AIRFOIL_TOC","AIRFOIL_ALPHA"
0,0.254376,0.159439,0,-7758.55,0.159439,0
1,0.324769,0.295145,0,-2227.33,0.295145,0
2,0.370803,0.438286,0,-637.004,0.438286,0
3,0.402717,0.585022,0,-172.326,0.585022,0
4,0.424366,0.72698,0,-42.3623,0.72698,0
5,0.437678,0.852194,0,-9.0892,0.852194,0
6,0.443758,0.945715,0,-1.62552,0.945715,0
7,0.443293,0.991099,0,-0.228904,0.991099,0
8,0.436729,0.994568,0,-0.0235613,0.994568,0
9,0.424361,0.92984,0,-0.00160131,0.92984,0
10,0.406381,0.791825,0,-6.21667e-05,0.791825,0
11,0.382912,0.595968,0,-1.11112e-06,0.595968,0
12,0.354022,0.378351,0,-6.50857e-09,0.378351,0
13,0.319744,0.187874,0,0,0.187874,0
14,0.280081,0.0640381,0,0,0.0640381,0
15,0.235016,0.0116465,0,0,0.0116465,0
16,0.184513,0.000634568,0,0,0.000634568,0
17,0.128522,1.82451e-06,0,0,1.82451e-06,0
18,0.0670282,2.77556e-14,0,0,2.77556e-14,0
19,0.254373,0.159461,0,-5916.37,0.159461,0
20,0.324774,0.295181,0,-1515.67,0.295181,0
21,0.370816,0.438332,0,-394.514,0.438332,0
22,0.402737,0.585075,0,-97.6113,0.585075,0
23,0.424391,0.727033,0,-21.9001,0.727033,0
24,0.437703,0.85224,0,-4.26006,0.85224,0
25,0.443779,0.945745,0,-0.683475,0.945745,0
26,0.443305,0.991105,0,-0.0850904,0.991105,0
27,0.436728,0.994557,0,-0.00759369,0.994557,0
28,0.424343,0.929799,0,-0.000435982,0.929799,0
29,0.406346,0.791761,0,-1.38051e-05,0.791761,0
30,0.382865,0.595893,0,-1.91676e-07,0.595893,0
31,0.353973,0.378284,0,-7.95808e-10,0.378284,0
32,0.319705,0.187829,0,0,0.187829,0
33,0.280064,0.0640174,0,0,0.0640174,0
34,0.235031,0.0116413,0,0,0.0116413,0
35,0.184567,0.000634147,0,0,0.000634147,0
36,0.128619,1.82207e-06,0,0,1.82207e-06,0
37,0.0671232,2.77556e-14,0,0,2.77556e-14,0
