Point ID,Gradient_Pressure_X,Gradient_Pressure_Y,Points_0,Points_1,Points_2,Points_Magnitude
0,-799.068788572,-373.847930102,0,0,0,0
1,-188.763209902,28.5333216316,8.97878726391e-06,9.95779118966e-05,0,9.99818948912e-05
2,84.1616306081,103.722323348,1.80581664608e-05,0.00020027141727,0,0.000201083908905
3,-0.923604723038,-9.23876963283,2.72988872894e-05,0.000302754284348,0,0.000303982553305
4,-59.2406819915,-39.8207518549,3.67196153093e-05,0.000407233455917,0,0.00040888559306
5,-72.9757991817,-69.2396851813,4.63467513327e-05,0.000514001760166,0,0.000516087049618
6,-99.1450402191,-102.20523022,5.60954322282e-05,0.000622118124738,0,0.000624642008916
7,-123.89553429,-136.604075654,6.57671771478e-05,0.000729381106794,0,0.000732340151444
8,-165.566517579,-179.368646418,7.52424602979e-05,0.000834465376101,0,0.00083785073366
9,-259.401168435,-218.702534498,8.45250324346e-05,0.000937412318308,0,0.000941215374041
10,-403.574960128,-270.490153249,9.36574069783e-05,0.00103869370651,0,0.00104290759191
11,-634.669787116,-200.954666805,0.000102806610812,0.00114016153384,0,0.00114478706382
12,-1247.28562513,138.418114208,0.000120913813589,0.00124242308084,0,0.0012482929742
13,1.04833283493,5.56806046737,0.000142383927596,0.00134662131313,0,0.00135412777308
14,-60.2838048679,-23.2535126725,0.000164240467711,0.00145269487984,0,0.00146194989793
15,-110.212996672,-52.2569820054,0.000186018500244,0.00155838753562,0,0.00156945036724
16,-138.95560294,-77.1406369184,0.000207372722798,0.0016620233655,0,0.00167491042521
17,-165.547604188,-105.976943347,0.000228190896451,0.00176305766217,0,0.00177776359487
18,-180.536405242,-141.922413494,0.000248783966526,0.00186299951747,0,0.00187953736167
19,-235.793911657,-185.139813466,0.000269619951723,0.00196412019432,0,0.00198253965937
20,-336.352853478,-230.556324111,0.000290990545182,0.00206783553585,0,0.00208820961416
21,-482.806636156,-270.386675681,0.00031280820258,0.00217372039333,0,0.00219611241482
22,-366.467686013,-311.621593509,0.000334376236424,0.00227839383297,0,0.0023027996067
23,-2031.33111435,415.675958671,0.000361194455763,0.00237889494747,0,0.00240615941584
24,-58.302622911,60.3301912142,0.000393382477341,0.00247554504313,0,0.00250660581514
25,-101.225851189,60.9514640108,0.00042562073213,0.00257234601304,0,0.00260731996968
26,-125.590467027,3.15848388418,0.000458747148514,0.00267181382515,0,0.00271091097966
27,-152.6469905,-26.5631912662,0.000492698920425,0.00277375988662,0,0.00281717884354
28,-179.757385063,-58.4560320019,0.000527014199179,0.00287679769099,0,0.00292467256077
29,-213.598502184,-92.1166961376,0.000560964457691,0.00297873909585,0,0.00303110014647
30,-240.293928992,-136.616488108,0.000594089680817,0.0030782034155,0,0.00313500850461
31,-310.989182442,-187.912523403,0.00062654283829,0.00317564955913,0,0.00323686678894
32,-459.949206019,-231.602818806,0.000658555480186,0.00327177299187,0,0.00333739328198
33,-712.469523611,-251.385843561,0.000690727494657,0.00336837512441,0,0.00343846692704
34,-1506.06032869,140.224377644,0.000723494333215,0.00346676330082,0,0.00354145327583
35,-1946.46432286,777.31842452,0.000765194476116,0.0035637493711,0,0.00364497350529
36,-9.26773563727,116.405207683,0.000810774683487,0.00366103136912,0,0.00374973425642
37,-92.3859215727,98.0915938562,0.000856841739733,0.00375935225748,0,0.0038557627704
38,-162.284394286,64.4398013314,0.000902647327166,0.00385711528361,0,0.00396132702008
39,-135.629732682,7.9526618083,0.000947670545429,0.0039532086812,0,0.004065210931
40,-169.95884474,-18.8599590008,0.000991922221147,0.00404765503481,0,0.00416742358357
41,-214.800135219,-46.1916996047,0.00103547028266,0.00414060009643,0,0.00426811072975
42,-250.688856529,-83.5115716663,0.00107845140155,0.00423233490437,0,0.00436757551506
43,-299.462797309,-133.793460925,0.00112128257751,0.00432374933735,0,0.0044667753391
44,-447.5537064,-166.062339644,0.00116456684191,0.00441613094881,0,0.00456710299477
45,-582.376672908,-200.113584356,0.00120860477909,0.00451012142003,0,0.00466925278306
46,-621.634630053,-171.525674364,0.00125337950885,0.00460568396375,0,0.00477318372577
47,-1813.92829901,806.153803481,0.00130359572358,0.00470039062202,0,0.00487781036645
48,-52.7149036128,123.6164361,0.00135941652115,0.00479335617274,0,0.0049823964946
49,-23.0771704459,112.285763817,0.00141490402166,0.00488576618955,0,0.00508651789278
50,-101.137776506,75.3787185355,0.00146958814003,0.00497683882713,0,0.00518927862868
51,-159.003259136,65.7308395742,0.00152347155381,0.00506657734513,0,0.00529066845775
52,-146.097774079,15.0429148464,0.0015764554264,0.00515481829643,0,0.00539048807696
53,-187.981138617,-8.32692232682,0.00162853987422,0.00524156121537,0,0.00548872537911
54,-246.023455378,-30.3446189585,0.00168060290162,0.00532826827839,0,0.00558702694252
55,-290.828600652,-70.7555864711,0.00173368083779,0.00541666569188,0,0.00568734714761
56,-361.708896748,-127.929027113,0.00178783666342,0.00550685822964,0,0.00578980566934
57,-549.318805908,-156.570036752,0.00184294045903,0.00559862935916,0,0.00589415663853
58,-794.957631232,-162.258685251,0.00189885415602,0.00569174950942,0,0.00600013835356
59,-1592.13660634,456.632341724,0.00195458950475,0.00578457256779,0,0.00610587419942
60,-1650.22911033,1094.91158727,0.00201608752832,0.00587151385844,0,0.00620800163597
61,25.3950878927,209.794986478,0.00207973807119,0.00595460319892,0,0.006307345815
62,31.2375160356,165.853824284,0.00214231689461,0.00603629415855,0,0.00640518311411
63,-30.0074630747,141.236287359,0.0022039974574,0.0061168121174,0,0.00650176871568
64,-40.5274469524,110.597990777,0.0022653050255,0.0061968434602,0,0.00659791426733
65,-68.2497833021,86.8369565217,0.002327025868,0.00627741357312,0,0.00669484678656
66,-114.165331808,65.4927969628,0.00238960282877,0.00635910220444,0,0.00679326010868
67,-128.963872131,22.7867779627,0.00245308596641,0.00644197314978,0,0.00689323199913
68,-178.35916372,2.45622161258,0.00251752370968,0.00652609020472,0,0.00699483929202
69,-241.056982872,-26.6787172353,0.00258297356777,0.00661152880639,0,0.00709817325696
70,-308.439983358,-78.9919908467,0.0026489875745,0.00669770361856,0,0.00720252515748
71,-484.519208099,-84.8876898273,0.00271459668875,0.00678334990516,0,0.00730635831133
72,-721.764648776,-63.657374662,0.00277932849713,0.00686785113066,0,0.00740891648456
73,-1886.67803897,1037.86235351,0.00284322164953,0.00695125758648,0,0.00751025229692
74,-1064.37174953,955.472782747,0.00291239912622,0.007028486114,0,0.00760800158605
75,42.9742042854,229.915210457,0.00298258173279,0.00710319215432,0,0.00770396878943
76,33.7615239928,182.339938284,0.00305181485601,0.00717688770965,0,0.00779880071059
77,21.9862245163,159.013660634,0.00312074203975,0.00725025683641,0,0.00789336767048
78,19.1514739789,129.571128909,0.00319049670361,0.00732450746,0,0.00798922311515
79,7.97448870137,104.930769364,0.0032615729142,0.00740016484633,0,0.00808704551309
80,-5.69547448166,81.3429200472,0.00333387870342,0.00747713074088,0,0.00818671099842
81,-37.6040973233,72.4781871923,0.00340731837787,0.00755530362949,0,0.00828809011728
82,-71.9206625754,58.1680058595,0.00348166306503,0.0076344399713,0,0.00839086715132
83,-109.975695167,40.8856658692,0.00355580192991,0.00771335698664,0,0.00849350355566
84,-149.114589834,24.3116137057,0.00362888933159,0.00779115501791,0,0.0085948202759
85,-180.790669856,-20.9748305423,0.00370081118308,0.00786771252751,0,0.00869464781135
86,-293.126898273,-6.39339656577,0.0037715616636,0.00794302299619,0,0.00879296846688
87,-407.328895361,15.8974455655,0.00384132703766,0.00801728479564,0,0.0088900309056
88,-781.543235559,420.801782123,0.00391069473699,0.00809112377465,0,0.00898664630949
89,-1014.89043756,971.872061577,0.00398371461779,0.00816239137203,0,0.00908265449107
90,-8.06804204805,168.524946259,0.00406001228839,0.00823257770389,0,0.0091792717576
91,26.7346642917,158.752479024,0.00413796398789,0.00830428674817,0,0.00927814189345
92,11.4653131718,134.309635254,0.00421747844666,0.00837743282318,0,0.00937915313989
93,16.3861241852,122.662263366,0.00429709488526,0.00845067296177,0,0.00948044843972
94,13.9468115075,104.35201269,0.00437524961308,0.00852256827056,0,0.00958003010601
95,5.81348868404,91.1431592816,0.00445134984329,0.00859257299453,0,0.00967712886631
96,-5.29923809029,79.2218466126,0.00452603399754,0.00866127572954,0,0.0097725475207
97,-18.7447364087,69.2754316622,0.00460105855018,0.00873029232025,0,0.00986852310598
98,-47.688925872,73.5389536093,0.0046783410944,0.00880138482898,0,0.00996750965714
99,-74.7395031551,67.3306072741,0.00475773634389,0.00887442193925,0,0.0100693302229
100,-87.9593648152,45.3122442965,0.00483731366694,0.00894762575626,0,0.0101715093479
101,-117.158094099,37.178745406,0.00491560529917,0.0090196467936,0,0.0102721564472
102,-157.401601831,31.2459715866,0.00499171577394,0.00908966176212,0,0.0103701101616
103,-198.983929686,31.7352558768,0.0050673042424,0.00915919616818,0,0.0104674948379
104,-388.769052077,248.080906317,0.00514447921887,0.00923019088805,0,0.0105670280755
105,-328.175438596,294.963005339,0.00522464420646,0.00930096488446,0,0.0106679359451
106,-54.4720936482,114.19845191,0.00530751748011,0.00937098637223,0,0.0107696391642
107,-23.1908761528,111.862422856,0.00538876233622,0.00943963229656,0,0.0108694713563
108,-36.7195496151,111.121368144,0.0054676765576,0.00950630847365,0,0.0109665580094
109,-35.1054148464,106.377028292,0.00554765248671,0.00957388151437,0,0.0110650649294
110,-39.9600452465,98.0706868456,0.00562971597537,0.00964321848005,0,0.0111662596464
111,-49.5018722696,93.3382827127,0.0057126134634,0.00971326045692,0,0.0112686017528
112,-65.3499713959,93.5427588239,0.00579435285181,0.00978232361376,0,0.0113696251065
113,-97.2188128424,110.899010124,0.00587389245629,0.00984952878207,0,0.0114680351689
114,-76.5713022675,64.7267396505,0.00595480576158,0.0099178943783,0,0.0115682473406
115,-91.9204112059,59.7785564455,0.00603671465069,0.00998710095882,0,0.0116697950289
116,-112.427562236,58.9053507038,0.00611698115245,0.0100549198687,0,0.0117694037035
117,-135.484605783,57.3312877054,0.0061984276399,0.0101237352937,0,0.0118705742061
118,-156.168712295,45.8110654601,0.0062797293067,0.0101924287155,0,0.0119716580957
119,-195.301175369,51.7980765897,0.00636084610596,0.0102609666064,0,0.0120726050809
120,-228.813622495,56.7984623119,0.00644312705845,0.0103304870427,0,0.0121750915423
121,-418.716489841,323.188336454,0.00652688508853,0.0104012563825,0,0.0122795095667
122,-365.447507108,385.137542473,0.00661130063236,0.0104687688872,0,0.0123816160485
123,-71.8912046668,100.131717634,0.00669748708606,0.0105370068923,0,0.0124853849411
124,-93.5930847375,135.087103876,0.00678324652836,0.0106049058959,0,0.0125887431204
125,-110.074041329,143.291753346,0.00686860689893,0.0106724901125,0,0.0126917222515
126,-120.044804452,144.192939117,0.00695574702695,0.0107414824888,0,0.0127969477326
127,-60.5964305527,53.0238107621,0.00704106781632,0.0108090350404,0,0.0129000730813
128,-96.1055752028,77.3392881908,0.00712709967047,0.0108771501109,0,0.0130041511729
129,-107.604197004,70.4497477637,0.00721190311015,0.0109442928806,0,0.0131068341434
130,-126.595364399,69.0685198669,0.00729645416141,0.0110112363473,0,0.0132092982531
131,-147.263972679,68.9018098606,0.00738038681448,0.0110776899382,0,0.0133110973984
132,-168.5655121,63.3637490465,0.0074639483355,0.0111438492313,0,0.01341252774
133,-194.531603218,61.5695860204,0.0075482702814,0.0112106101587,0,0.013514961116
