"DESIGN_VARIABLE","AIRFOIL_AREA","AIRFOIL_THICKNESS","AIRFOIL_CHORD","AIRFOIL_LE_RADIUS","AIRFOIL_TOC","AIRFOIL_ALPHA"
0,0.254376,0.161156,0,-7704.02,0.161156,0
1,0.324769,0.296863,0,-2211.48,0.296863,0
2,0.370803,0.440003,0,-632.456,0.440003,0
3,0.402717,0.58674,0,-171.095,0.58674,0
4,0.424366,0.728698,0,-42.0595,0.728698,0
5,0.437678,0.853912,0,-9.02422,0.853912,0
6,0.443758,0.947433,0,-1.6139,0.947433,0
7,0.443293,0.992816,0,-0.227267,0.992816,0
8,0.436729,0.994568,0,-0.0233929,0.994568,0
9,0.424361,0.92984,0,-0.00158987,0.92984,0
10,0.406381,0.791825,0,-6.17223e-05,0.791825,0
11,0.382912,0.595968,0,-1.10316e-06,0.595968,0
12,0.354022,0.378351,0,-6.48015e-09,0.378351,0
13,0.319744,0.187874,0,0,0.187874,0
14,0.280081,0.0640381,0,0,0.0640381,0
15,0.235016,0.0116465,0,0,0.0116465,0
16,0.184513,0.000634568,0,0,0.000634568,0
17,0.128522,1.82451e-06,0,0,1.82451e-06,0
18,0.0670282,4.16334e-14,0,0,4.16334e-14,0
19,0.254373,0.161178,0,-5879.86,0.161178,0
20,0.324774,0.296899,0,-1506.25,0.296899,0
21,0.370816,0.44005,0,-392.056,0.44005,0
22,0.402737,0.586792,0,-97.0028,0.586792,0
23,0.424391,0.728751,0,-21.7636,0.728751,0
24,0.437703,0.853957,0,-4.2335,0.853957,0
25,0.443779,0.947463,0,-0.679214,0.947463,0
26,0.443305,0.992823,0,-0.0845599,0.992823,0
27,0.436728,0.994557,0,-0.00754634,0.994557,0
28,0.424343,0.929799,0,-0.000433263,0.929799,0
29,0.406346,0.791761,0,-1.3719e-05,0.791761,0
30,0.382865,0.595893,0,-1.90482e-07,0.595893,0
31,0.353973,0.378284,0,-7.95808e-10,0.378284,0
32,0.319705,0.187829,0,0,0.187829,0
33,0.280064,0.0640174,0,0,0.0640174,0
34,0.235031,0.0116413,0,0,0.0116413,0
35,0.184567,0.000634147,0,0,0.000634147,0
36,0.128619,1.82207e-06,0,0,1.82207e-06,0
37,0.0671232,4.16334e-14,0,0,4.16334e-14,0
