"DESIGN_VARIABLE","AIRFOIL_AREA","AIRFOIL_THICKNESS","AIRFOIL_CHORD","AIRFOIL_LE_RADIUS","AIRFOIL_TOC","AIRFOIL_ALPHA"
0,0.254376,0.159425,0,-7759.09,0.159425,0
1,0.324769,0.295131,0,-2227.49,0.295131,0
2,0.370803,0.438272,0,-637.049,0.438272,0
3,0.402717,0.585008,0,-172.338,0.585008,0
4,0.424366,0.726966,0,-42.3653,0.726966,0
5,0.437678,0.85218,0,-9.08984,0.85218,0
6,0.443758,0.945701,0,-1.62563,0.945701,0
7,0.443293,0.991085,0,-0.22892,0.991085,0
8,0.436729,0.994568,0,-0.023563,0.994568,0
9,0.424361,0.92984,0,-0.00160143,0.92984,0
10,0.406381,0.791825,0,-6.21711e-05,0.791825,0
11,0.382912,0.595968,0,-1.1112e-06,0.595968,0
12,0.354022,0.378351,0,-6.50857e-09,0.378351,0
13,0.319744,0.187874,0,0,0.187874,0
14,0.280081,0.0640381,0,0,0.0640381,0
15,0.235016,0.0116465,0,0,0.0116465,0
16,0.184513,0.000634568,0,0,0.000634568,0
17,0.128522,1.82451e-06,0,0,1.82451e-06,0
18,0.0670282,2.77556e-14,0,0,2.77556e-14,0
19,0.254373,0.159447,0,-5916.73,0.159447,0
20,0.324774,0.295167,0,-1515.77,0.295167,0
21,0.370816,0.438318,0,-394.539,0.438318,0
22,0.402737,0.585061,0,-97.6174,0.585061,0
23,0.424391,0.727019,0,-21.9015,0.727019,0
24,0.437703,0.852226,0,-4.26032,0.852226,0
25,0.443779,0.945731,0,-0.683518,0.945731,0
26,0.443305,0.991091,0,-0.0850957,0.991091,0
27,0.436728,0.994557,0,-0.00759416,0.994557,0
28,0.424343,0.929799,0,-0.000436009,0.929799,0
29,0.406346,0.791761,0,-1.38059e-05,0.791761,0
30,0.382865,0.595893,0,-1.91733e-07,0.595893,0
31,0.353973,0.378284,0,-8.2423e-10,0.378284,0
32,0.319705,0.187829,0,0,0.187829,0
33,0.280064,0.0640174,0,0,0.0640174,0
34,0.235031,0.0116413,0,0,0.0116413,0
35,0.184567,0.000634147,0,0,0.000634147,0
36,0.128619,1.82207e-06,0,0,1.82207e-06,0
37,0.0671232,2.77556e-14,0,0,2.77556e-14,0
