"DESIGN_VARIABLE","AIRFOIL_AREA","AIRFOIL_THICKNESS","AIRFOIL_CHORD","AIRFOIL_LE_RADIUS","AIRFOIL_TOC","AIRFOIL_ALPHA"
0,0.254376,0.166353,0,-7625.11,0.166353,0
1,0.324769,0.30206,0,-2188.48,0.30206,0
2,0.370803,0.4452,0,-625.851,0.4452,0
3,0.402717,0.591937,0,-169.306,0.591937,0
4,0.424366,0.733895,0,-41.6196,0.733895,0
5,0.437678,0.859109,0,-8.92982,0.859109,0
6,0.443758,0.95263,0,-1.59701,0.95263,0
7,0.443293,0.998013,0,-0.22489,0.998013,0
8,0.436729,0.980326,0,-0.0231482,0.980326,0
9,0.424361,0.904795,0,-0.00157323,0.904795,0
10,0.406381,0.76678,0,-6.10766e-05,0.76678,0
11,0.382912,0.570923,0,-1.09162e-06,0.570923,0
12,0.354022,0.353307,0,-6.39488e-09,0.353307,0
13,0.319744,0.16283,0,0,0.16283,0
14,0.280081,0.0478453,0,0,0.0478453,0
15,0.235016,0.00788399,0,0,0.00788399,0
16,0.184513,0.000368704,0,0,0.000368704,0
17,0.128522,7.88283e-07,0,0,7.88283e-07,0
18,0.0670282,0,0,0,0,0
19,0.254373,0.166376,0,-5845.52,0.166376,0
20,0.324774,0.302096,0,-1497.46,0.302096,0
21,0.370816,0.445247,0,-389.768,0.445247,0
22,0.402737,0.59199,0,-96.4366,0.59199,0
23,0.424391,0.733948,0,-21.6366,0.733948,0
24,0.437703,0.859155,0,-4.20879,0.859155,0
25,0.443779,0.95266,0,-0.67525,0.95266,0
26,0.443305,0.99802,0,-0.0840664,0.99802,0
27,0.436728,0.980304,0,-0.0075023,0.980304,0
28,0.424343,0.904755,0,-0.000430735,0.904755,0
29,0.406346,0.766717,0,-1.36389e-05,0.766717,0
30,0.382865,0.570849,0,-1.89374e-07,0.570849,0
31,0.353973,0.35324,0,-7.95808e-10,0.35324,0
32,0.319705,0.162785,0,0,0.162785,0
33,0.280064,0.047829,0,0,0.047829,0
34,0.235031,0.00788034,0,0,0.00788034,0
35,0.184567,0.000368456,0,0,0.000368456,0
36,0.128619,7.87272e-07,0,0,7.87272e-07,0
37,0.0671232,0,0,0,0,0
