"DESIGN_VARIABLE","AIRFOIL_AREA","AIRFOIL_THICKNESS","AIRFOIL_CHORD","AIRFOIL_LE_RADIUS","AIRFOIL_TOC","AIRFOIL_ALPHA"
0,0.254376,0.164073,0,-7753.45,0.164073,0
1,0.324769,0.29978,0,-2225.81,0.29978,0
2,0.370803,0.44292,0,-636.565,0.44292,0
3,0.402717,0.589657,0,-172.207,0.589657,0
4,0.424366,0.731615,0,-42.333,0.731615,0
5,0.437678,0.856829,0,-9.08291,0.856829,0
6,0.443758,0.95035,0,-1.62439,0.95035,0
7,0.443293,0.995733,0,-0.228745,0.995733,0
8,0.436729,0.994568,0,-0.023545,0.994568,0
9,0.424361,0.92984,0,-0.00160021,0.92984,0
10,0.406381,0.791825,0,-6.21237e-05,0.791825,0
11,0.382912,0.595968,0,-1.11035e-06,0.595968,0
12,0.354022,0.378351,0,-6.48015e-09,0.378351,0
13,0.319744,0.187874,0,0,0.187874,0
14,0.280081,0.0640381,0,0,0.0640381,0
15,0.235016,0.0116465,0,0,0.0116465,0
16,0.184513,0.000634568,0,0,0.000634568,0
17,0.128522,1.82451e-06,0,0,1.82451e-06,0
18,0.0670282,5.55112e-14,0,0,5.55112e-14,0
19,0.254373,0.164096,0,-5923.31,0.164096,0
20,0.324774,0.299816,0,-1517.51,0.299816,0
21,0.370816,0.442967,0,-394.995,0.442967,0
22,0.402737,0.58971,0,-97.7305,0.58971,0
23,0.424391,0.731668,0,-21.9269,0.731668,0
24,0.437703,0.856874,0,-4.26527,0.856874,0
25,0.443779,0.95038,0,-0.684311,0.95038,0
26,0.443305,0.99574,0,-0.0851944,0.99574,0
27,0.436728,0.994557,0,-0.00760297,0.994557,0
28,0.424343,0.929799,0,-0.000436515,0.929799,0
29,0.406346,0.791761,0,-1.3822e-05,0.791761,0
30,0.382865,0.595893,0,-1.91903e-07,0.595893,0
31,0.353973,0.378284,0,-7.95808e-10,0.378284,0
32,0.319705,0.187829,0,0,0.187829,0
33,0.280064,0.0640174,0,0,0.0640174,0
34,0.235031,0.0116413,0,0,0.0116413,0
35,0.184567,0.000634147,0,0,0.000634147,0
36,0.128619,1.82207e-06,0,0,1.82207e-06,0
37,0.0671232,5.55112e-14,0,0,5.55112e-14,0
