Point ID,Gradient_Pressure_X,Gradient_Pressure_Y,Points_0,Points_1,Points_2,Points_Magnitude
0,263.920705915,-1076.50967339,0.993608951569,0.000508245837409,0,0.993609070778
1,666.6372651,470.665973233,0.993623733521,0.000764589465689,0,0.993624031544
2,4101.84314541,-338.333645378,0.993638455868,0.00102093303576,0,0.99363899231
3,6668.27154844,-520.069239304,0.99365323782,0.00127727654763,0,0.993654072285
4,703.114347133,1089.59926496,0.993668019772,0.00153362017591,0,0.993669211864
5,-539.190070037,-1344.23937314,0.993413865566,0.00158835737966,0,0.993415117264
6,168.112665557,701.157270647,0.992914140224,0.00169596937485,0,0.992915570736
7,453.755391443,2160.75001734,0.992175757885,0.00185498129576,0,0.99217748642
8,446.261944387,2158.08543097,0.991195321083,0.00205996772274,0,0.99119746685
9,41.5105098468,199.346612579,0.989887475967,0.00232933624648,0,0.989890217781
10,92.83143506,444.984675127,0.988317430019,0.00265269749798,0,0.988321006298
11,103.791198599,496.681436794,0.986521780491,0.00302253942937,0,0.986526429653
12,364.075202829,1763.76520352,0.984504163265,0.00343809230253,0,0.984510183334
13,368.141287012,1794.31620553,0.982248306274,0.00390062318183,0,0.982256054878
14,73.0605367173,350.544414396,0.979724824429,0.00441408436745,0,0.979734778404
15,19.6640121177,87.5689359268,0.97692501545,0.00498377159238,0,0.976937711239
16,309.800429929,1535.14943485,0.973866999149,0.00560595002025,0,0.973883152008
17,77.7458480688,383.959087442,0.970575332642,0.0062570720911,0,0.970595479012
18,307.870640039,1548.6912142,0.967025756836,0.00695921108127,0,0.967050790787
19,318.392795229,1609.13251508,0.963253319263,0.00770384212956,0,0.963284134865
20,80.139960821,399.124679287,0.959235966206,0.00849149003625,0,0.959273576736
21,318.692774426,1623.60266278,0.954964339733,0.00932899489999,0,0.955009877682
22,294.133416545,1506.9870328,0.950438320637,0.0102076875046,0,0.95049315691
23,291.828201928,1505.12766105,0.945675492287,0.0111300805584,0,0.945740997791
24,291.849837043,1519.57298384,0.940685212612,0.0120859304443,0,0.940762877464
25,275.369877262,1448.2988697,0.935462355614,0.0130783366039,0,0.935553789139
