"DESIGN_VARIABLE","AIRFOIL_AREA","AIRFOIL_THICKNESS","AIRFOIL_CHORD","AIRFOIL_LE_RADIUS","AIRFOIL_TOC","AIRFOIL_ALPHA"
0,0.254376,0.162354,0,-7675.58,0.162354,0
1,0.324769,0.29806,0,-2203.21,0.29806,0
2,0.370803,0.441201,0,-630.083,0.441201,0
3,0.402717,0.587937,0,-170.452,0.587937,0
4,0.424366,0.729895,0,-41.9014,0.729895,0
5,0.437678,0.855109,0,-8.9903,0.855109,0
6,0.443758,0.94863,0,-1.60783,0.94863,0
7,0.443293,0.994014,0,-0.226413,0.994014,0
8,0.436729,0.994568,0,-0.0233049,0.994568,0
9,0.424361,0.92984,0,-0.00158389,0.92984,0
10,0.406381,0.791825,0,-6.14903e-05,0.791825,0
11,0.382912,0.595968,0,-1.09901e-06,0.595968,0
12,0.354022,0.378351,0,-6.45173e-09,0.378351,0
13,0.319744,0.187874,0,0,0.187874,0
14,0.280081,0.0640381,0,0,0.0640381,0
15,0.235016,0.0116465,0,0,0.0116465,0
16,0.184513,0.000634568,0,0,0.000634568,0
17,0.128522,1.82451e-06,0,0,1.82451e-06,0
18,0.0670282,4.16334e-14,0,0,4.16334e-14,0
19,0.254373,0.162376,0,-5862.48,0.162376,0
20,0.324774,0.298096,0,-1501.77,0.298096,0
21,0.370816,0.441247,0,-390.888,0.441247,0
22,0.402737,0.58799,0,-96.7136,0.58799,0
23,0.424391,0.729948,0,-21.6987,0.729948,0
24,0.437703,0.855155,0,-4.22088,0.855155,0
25,0.443779,0.94866,0,-0.677189,0.94866,0
26,0.443305,0.99402,0,-0.0843078,0.99402,0
27,0.436728,0.994557,0,-0.00752384,0.994557,0
28,0.424343,0.929799,0,-0.000431972,0.929799,0
29,0.406346,0.791761,0,-1.36781e-05,0.791761,0
30,0.382865,0.595894,0,-1.89914e-07,0.595894,0
31,0.353973,0.378284,0,-8.2423e-10,0.378284,0
32,0.319705,0.187829,0,0,0.187829,0
33,0.280064,0.0640174,0,0,0.0640174,0
34,0.235031,0.0116413,0,0,0.0116413,0
35,0.184567,0.000634147,0,0,0.000634147,0
36,0.128619,1.82207e-06,0,0,1.82207e-06,0
37,0.0671232,4.16334e-14,0,0,4.16334e-14,0
